Roll,Pitch,Yaw,Heading,Roll Setpoint,Pitch Setpoint
-0.09979935,-0.21515763,-122.37284,-120.58284,10,0
-0.10496377,-0.17927071,-115.61942,-113.82942,10,0
-0.07709617,-0.16769795,-115.689415,-113.899414,10,0
0.027743468,-0.14728355,-115.985985,-114.195984,10,0
0.08858672,-0.13428205,-116.155205,-114.365204,10,0
0.10150974,-0.20053922,-116.29675,-114.50675,10,0
0.42720962,-0.1787381,-118.34449,-116.55449,10,0
-0.1531606,-0.18389232,-116.75839,-114.96839,10,0
-0.27221856,-0.1925174,-116.43746,-114.64746,10,0
-0.14278913,-0.030093065,-116.57302,-114.78302,10,0
-0.3552831,-0.11438035,-116.09645,-114.30645,10,0
-0.32040325,-0.27370128,-112.86696,-111.07696,10,0
-0.09855365,-0.2643661,-113.48105,-111.69105,10,0
0.017468078,-0.22057727,-113.75177,-111.96177,10,0
0.05846395,-0.1218431,-113.74492,-111.95492,10,0
0.05207538,-0.05870633,-113.65062,-111.86062,10,0
0.0821308,-0.06304024,-117.23864,-115.44864,10,0
0.050145846,-0.12906513,-117.244225,-115.45422,10,0
-0.08734064,-0.24539144,-117.028595,-115.238594,10,0
-0.16837922,-0.28360933,-116.85639,-115.06639,10,0
-0.048872124,-0.1488114,-116.998795,-115.20879,10,0
0.19206536,-0.095444016,-116.31524,-114.52524,10,0
-0.23179133,-0.046673764,-115.08344,-113.29344,10,0
-0.15573148,-0.18561217,-115.47719,-113.68719,10,0
0.08681867,-0.18399802,-116.14663,-114.35663,10,0
0.40506735,-0.16929099,-116.99521,-115.20521,10,0
0.036552593,-0.14528707,-127.35281,-125.56281,10,0
-0.43989348,-0.08193284,-126.15287,-124.36287,10,0
-0.1532354,-0.06463469,-126.78372,-124.99372,10,0
-0.027143713,-0.10600539,-127.14116,-125.35116,10,0
-0.091461666,-0.19292583,-127.14453,-125.35453,10,0
-0.08220589,-0.2453349,-118.14391,-116.35391,10,0
-0.06891824,-0.16399212,-118.06964,-116.27964,10,0
-0.013380997,-0.009887301,-118.004715,-116.214714,10,0
0.025349693,-0.07736896,-118.1873,-116.3973,10,0
-0.010203044,-0.265228,-121.68097,-119.89097,10,0
-0.039333515,-0.22362314,-121.53529,-119.74529,10,0
-0.0420561,-0.15151371,-121.41072,-119.62072,10,0
-0.107221976,-0.17188185,-121.270226,-119.480225,10,0
-0.13274325,-0.21526442,-121.27236,-119.48236,10,0
-0.110200495,-0.16529204,-117.969604,-116.1796,10,0
0.01388837,-0.15299672,-118.25859,-116.46859,10,0
0.07258281,-0.19960277,-118.464005,-116.674,10,0
0.37713605,-0.27009043,-119.29969,-117.50969,10,0
0.7917609,-0.36435714,-120.42348,-118.63348,10,0
0.40801877,-0.11800907,-118.58577,-116.79577,10,0
-0.28456384,-0.08858629,-116.48295,-114.69295,10,0
-0.49301717,-0.28757232,-116.14513,-114.355125,10,0
-0.578864,-0.26362184,-115.84356,-114.05356,10,0
-0.4266965,-0.13454397,-116.11946,-114.32946,10,0
-0.07657974,-0.38479143,-114.966156,-113.176155,10,0
-0.07082482,-0.36350313,-114.95484,-113.16484,10,0
-0.23172796,0.091800205,-113.95763,-112.167625,10,0
-0.18550265,0.14213921,-114.02192,-112.23192,10,0
-0.06738806,-0.09401002,-114.62669,-112.83669,10,0
-0.14571476,-0.20829388,-120.54477,-118.75477,10,0
-0.10630052,-0.26145858,-120.736404,-118.9464,10,0
0.15568417,-0.3490546,-121.58275,-119.79275,10,0
0.05826425,-0.2991343,-121.24042,-119.45042,10,0
-0.046560276,-0.2115528,-120.81743,-119.02743,10,0
-0.08974495,-0.20386331,-125.5705,-123.7805,10,0
-0.059296593,-0.27912363,-125.766075,-123.976074,10,0
-0.023610553,-0.35462898,-125.975136,-124.185135,10,0
0.007632631,-0.287383,-125.934616,-124.144615,10,0
0.05112084,-0.07032607,-125.67459,-123.88459,10,0
0.018100936,0.001816672,-116.89142,-115.10142,10,0
0.037136763,-0.374046,-117.39639,-115.60639,10,0
0.022504319,-0.47874635,-117.49201,-115.70201,10,0
-0.059283853,-0.3695001,-117.15892,-115.36892,10,0
-0.11687339,-0.09321841,-122.65793,-120.86793,10,0
-0.18715398,-0.109471165,-122.50155,-120.71155,10,0
-0.21129099,-0.19380121,-122.579056,-120.789055,10,0
-0.15366141,-0.2961037,-122.90295,-121.112946,10,0
-0.040208235,-0.3365097,-123.26896,-121.47896,10,0
-0.12506497,-0.41577718,-121.81517,-120.02517,10,0
-0.14598121,-0.14223751,-121.36233,-119.57233,10,0
-0.31106317,-0.05939672,-120.847275,-119.057274,10,0
-0.8872115,-0.23146562,-119.68084,-117.89084,10,0
-1.3568398,-0.3869389,-118.70915,-116.91915,10,0
-1.4473304,-0.34458584,-131.34209,-129.5521,10,0
-2.4968188,-0.19808578,-127.97448,-126.18448,10,0
-4.5216675,-0.091734685,-121.12534,-119.33534,10,0
-5.712777,-0.29354355,-117.10134,-115.31134,10,0
-6.5945134,-0.49592435,-113.903366,-112.113365,10,0
-7.56872,-0.43044177,-101.98222,-100.19222,10,0
-8.366084,-0.3379808,-97.09744,-95.30744,10,0
-8.74519,-0.23709524,-94.74837,-92.95837,10,0
-10.214661,-0.26831385,-85.77827,-83.988266,10,0
-11.565641,-0.52235657,-23.2459,-21.455898,10,0
-12.19253,-0.5525885,-20.33632,-18.546322,10,0
-12.435672,-0.51235205,-19.862999,-18.072998,10,0
-12.794532,-0.4900428,-18.90126,-17.11126,10,0
-12.989808,-0.40450755,-19.063728,-17.273727,10,0
-13.31474,-0.3988929,-1.3094904,0.48050952,10,0
-14.329794,-0.42242876,-0.9951862,0.79481375,10,0
-14.779429,-0.4037463,-1.0651252,0.72487473,10,0
